fr	ewe
Coronavirus oblige, la 75e Assemblée générale de l’ONU ouverte cette semaine se déroule par visioconférence	Ɖe Koronadɔ ta la, ONU ƒe takpekpe si tɔ edzi le kwasiɖa sia me la le emevava kpɔm to yaʋalatakpemɔnu dzi.
Ce jeudi 24 septembre, alors qu’il intervenait devant ses pairs, Alassane Ouattara s’est exprimé sur la présidentielle du 31 octobre prochain	Le yawoɖa anyɔnyɔ 24 lia sia gbe esime wonɔ nu ƒom le ehatsi dukplɔlawo ŋgɔ la, Allasane Ouatara ƒo nu tso dukplɔlawo ƒe akɔ si le eme vage le ƒè sia e la ŋu.
Le candidat du RHDP, qui a finalement décidé de briguer un 3e mandat après le décès brutal de son dauphin Amadou Gon Coulibaly en juillet dernier, dans son message a rassuré le système des Nations Unies en assurant que le scrutin se déroulait dans environnement démocratique	RHDP ƒe amedetome si le didim be yeagaɖu fia zi etɔlia la na kakaɖedzi dukɔƒoƒuawo be akɔa ayi edzi le vovodunyagblɔmɔnu nyuitɔ me.
« Le peuple ivoirien va élire le 31 octobre 2020, son prochain Président de la République	Nyiɖuƒutadua le eƒe kplɔla tsiã ge le kele 31 lia dzi.
En dépit de la crise sanitaire liée à la COVID-19, toutes les dispositions sont prises pour que cette élection soit apaisée et transparente, à l’image de celle de 2015 », a indiqué M	To egbɔ be Koronadɔ li hã, aƒetɔa be kakaɖedzi li be akɔa me nakɔ abe ƒè 2015 tɔ ke ene.
Ouattara, cité par Koaci	Nya sia KOACI be Ouatarra gblɔe nye ekem.
Alassane Ouattara : « La place de Guillaume Soro n’est pas dans la campagne électorale mais en prison »Le numéro un ivoirien a enfin expliqué que : « Cette élection intervient dans un environnement démocratique, consolidé par d’importantes réformes sociopolitiques et par des progrès économiques et humains indéniables qui font de mon pays, une nation prospère et l’une des économies les plus performantes au monde»	"Allasane Ouattara be ""Guillaume Soro ƒe teƒe mele akɔboblodonyawo me o ke gakpɔmee wole"" eyi edzi be akɔa le eme vage le vovodunyagbɔgblɔ deto siwoe be dua le ŋgɔdede kpɔm eye eƒe ganyawo nye nyuitɔwo dometɔ ɖeka le xexea me."
Une femme a tué son enfant, âgé d’un an environ, d’un violent coup à la tête avant de jeter celui-ci dans le puisard	Nyɔnu aɖe ƒo kpo ta na via hewui hafi dae ɖe tsiledo me.
Selon les informations recueillies sur les lieux, la femme, une prostituée, avait pour habitude de sortir tardivement et ne rentrer qu’au petit matin, livrant son enfant à lui-même toutes les nuits	Amewo be nyɔnua nye gbolo eye wodzoa zã hegblena ɖevia ɖeka ɖi hena ŋukeke.
Jusqu’à récemment, une nuit, l’enfant seul dans la chambre, pleurait et criait de toutes ses forces	Nyitsɔ laa, le zã tsitsina la, ɖevia deka nɔ xɔa me kple avi kple ɣli..
Il a fallu l’intervention du voisinage, qui a dû défoncer la porte pour porter assistance à l’enfant	Aƒelikawoe fo ʋɔa hekpe ɖe ɖevia ŋue..
La femme, qui occupait une chambre de location dans la maison du Chef de quartier, a été convoquée, dans la foulée, pour mettre au clair ses agissements et être rappelée à l’ordre	Nyɔnu sia si ne haya xɔ le fia ƒeme la, woyɔe xegbe nya nae alebe woaɖɔ nɔnɔmea ɖoe..
Togo : l’importance des images chez l’enfant expliquée par un spécialistePrise d’un accès de rage suite à sa convocation, elle assène un coup de bâton sur la tête de l’enfant	Togo: eŋununyala aɖe ɖe nɔnɔmetata ƒe vevenyenye le ɖeviwo gbɔ la gɔme. Esi dɔme ve nyɔnua le yɔyɔ sia ta la, eƒo kpo ta na via..
Le coup de grâce, car l’enfant a succombé	Eye ɖevia mia nu enumake.
Ne sachant pas quoi faire, elle aurait attendu la nuit tombée pour glisser l’enfant dans le puisard non loin de leur habitation	Eye menya nu si woawɔ o la, etsɔ ɖevia ƒu gbe zãme ɖe tsiledo aɖe si medidi le aƒea gbɔ o la me.
Le corps sans vie de l’enfant a été découvert le lendemain par des jeunes du quartier qui jouaient au ballon près du puisard	Kɔa me sɔhɛ siwo nɔ bɔl ƒom ŋufɔke le tsiledoa gbɔ lae ke ɖe ɖevia ŋu.
Au Vietnam, les autorités ont découvert un stock de 324 000 préservatifs usagés dans un appartement d’une province du sud du pays, en démantelant un trafic sordide de ce moyen de contraception	Le Vietnam, wokpɔ kofikuku gbegblẽ 324000 le nuto aɖe meesi me wole didim be yewogba adzɔvlo sia dolawo ƒe habɔbɔ aɖe lae.
Voici pourquoi il ne faudrait jamais se laver le visage avant de dormirLe propriétaire de l’entrepôt a indiqué qu’il recevait des préservatifs usagés une fois par mois, pour les nettoyer	Esia tae menyo be nafu mo hafi amlɔ anyi o. Xɔtɔ la be yexɔa kofikuku gbegblẽ siawo ɣleti sia ɣleti xeklɔa woe.
Les préservatifs devaient en effet être lavés, séchés puis remoulés à l’aide d’une sorte de godemichets en bois, pour être revendus sur un marché local et distribués dans des hôtels	Ne wonyawo hesiawo woƒu nyuie la, wotsɔ atikpo aɖe mlia wo hafi dea wo gome ɖadzrana le dua me kple amedzrodzeƒewoe.
Ils représentaient un total de 360 kilos de plastique	Esia nye aŋe si kpe abe kilo 360 ene.
Selon le Daily Mail, des milliers de préservatifs ont déjà été réutilisés par des acheteurs, qui ne suspectaient rien face à leur reconditionnement	Daily Mail be ame sɔgbɔ zana kofikuku si wogbugbɔ dzraɖo le wozaza megbe ke womenyana o.
Le propriétaire de l’entrepôt a indiqué qu’il recevait des préservatifs usagés une fois par mois, pour les nettoyer	 Xɔtɔ la be yexɔa kofikuku gbegblẽ siawo ɣleti sia ɣleti xeklɔa woe.
Les autorités cherchent à recenser toutes les infractions commises par les trafiquants	Tatɔ́wo le didim be yewoanya nu baɖa siwo katã asivɔ̃sala siawo wɔe.
Etant des déchets médicaux, les préservatifs sont considérés comme particulièrement dangereux	Abe dɔyɔɖiɖɔ ene la, kofikuku zavɔwo nye afɔkunuwoe.
Leur réutilisation comporte un risque de MST et de grossesses non souhaitées	Ezaza ke ahe dɔxɔleameŋu kple fu madzrofɔ vɛ faa.
Si le Bénin peine à concrétiser la construction du réseau ferroviaire pouvant relier Niamey à Cotonou via Dosso et Parakou, le Nigeria y voit une opportunité	Ne Benin mete ŋu le ketekemɔ si atso Kutɔnu ayi Niamey to dosso kple paraku dom o la, Nigeria ya kpɔe be mɔnukpɔkpɔ .
L’approbation de la réalisation de cette infrastructure ferroviaire a été faite, lors de la réunion du Conseil exécutif fédéral présidé par le président, Muhammadu Buhari	Ketekemɔdɔ sia wɔwɔ kpeɖodzi gbalẽa kpɔ emevava le nutodzikpɔlabɔbɔ si ta Muhamadu Buhari nɔ la me.
Le port de Cotonou risque gros	Esia agble nu le Kutɔnu meledzeƒea ŋu.
Une initiative très louable, qui, une fois réalisée, boostera les relations économiques entre la première puissance économique de l’Afrique et le Niger, l’un des pays les plus pauvres de la planète	Ɖoɖo sia dze kafu ne ekpɔ emevava la elabe ana ganyakadede si le gaŋusẽtɔ gbatɔ si le ɣetoɖoƒe Afrika kple Niger si nye wɔmenɔdu la na de ŋgɔ.
le transport des marchandises en provenance du Niger via les chemins de fer en perspective	Woatsɔ agbawo tso Niger to ketekemɔa dzi.
L’objectif de la réalisation de ce projet qui existait depuis très longtemps est de permettre au Nigéria de se positionner comme un concurrent de taille pour arracher au port de Cotonou,	Ɖoɖo sia si li xoxo la ana be Nigeria axɔ nu le Kutɔnu si.
En effet, pour accéder à la mer, le Niger et ses autres voisins enclavés, n’ont actuellement que le port de Cotonou comme couloir le plus proche, le plus rapide et le moins accidenté	Elabe ne Niger kple du bubu siwo mekpɔ gome le futa o naku agba la Kutɔnumɔa koe nye esi kpɔ eye afɔku mele edzi o lae.
Agression d’Eunice Zunon : l’artiste burkinabé Dicko Fils clarifie l’affaire	Burkina hadzila Dicko fils ɖe nu si dzɔ ɖe Eunice Zunon dzi la gɔme.
Mais, à cause de la fermeture des frontières nigérianes, ces pays ont d’énormes difficultés pour, à la fois, commercer avec le Bénin et le Nigéria	Ku ɖe dẽ siwo Nigeria tu ta la, du siawo megate ŋu le adzɔ dom kple Benin kpakple Nigeria siaa o.
D’où la double opportunité pour le Nigeria de se positionner très vite au détriment de son voisin, le Bénin, toujours réfractaire à ses injonctions	Esiae ana mɔnu Nigeria woanye hoʋlila kple Benin si mele didim be yeawɔ dɔa o lae.
Togo : Le sujet principal du Conseil des ministres de ce mardi 22 septembre	Togo: Nyati vevitɔ sinɔ dudɔnunɔlawo takpekpea me egbe anyɔnyɔ 22 liae nye.
Ainsi, la coopération nigéro-nigériane fait un grand pas dans le sens de l’intégration sous régionale, par l’interconnexion par liaison ferroviaire des deux vastes pays de l’Afrique de l’Ouest	Ekem Niger kple Nigeria domekadede la le ŋgɔ dem to ketekemɔ sia dzi le du gbadza eve siawo dome.
Une liaison ferroviaire qui aura pour conséquence la réduction du désenclavement dont souffrent ces pays, mais aussi la réduction des échanges économiques entre le Niger et le Bénin	Nu tsolemea nye be du siawo ƒe nutuɖenu le ƒuta ŋu la aɖiɖi kpɔtɔ eye nenema kee Niger kple Benin dome sisasawo hã aɖiɖie.
Et si la fermeture des frontières bénino-nigérianes persiste, les conséquences économiques risquent d’être énormes pour le pays de Patrice Talon	Eye ne Benin kple Nigeria domedẽwo ganɔ tutu la, ekem ganyawo aɖe fu na Patrice Talon ƒe dua.
Du 1er au 31 octobre, une place spéciale sera dédiée à la consommation locale au Togo	Tso kele 1tɔ yi ɖe 31 lia dzi la, ɖoƒe tɔhɛ aɖe anɔ anyi na Togonuwozaza.
L’initiative est dénommée “Mois du consommer local” et est portée par le ministère en charge du commerce et de la consommation locale	"Ɖoɖoa ƒe tanyae nye ""Togonuwozaza ɣleti"""" eye dudɔnunɔƒe si kpɔa asitsatsa kple dunuwozazanyawo gbɔ lae de megbe nae."
Elle sera lancée le 30 septembre prochain	Woaʋu enu le anyɔnyɔ bla etɔlia dzi.
À travers le “Mois du consommer local”, il s’agira d’amplifier la promotion de la consommation des produits locaux de l’espace monétaire afin de susciter l’envie et l’intérêt des populations pour leur consommation	To denuzaza ɣleti sia me la, wodo bloblo denuwozaza ŋu to amewonyɔnyɔ ɖe esiawo ŋu mee.
